Ticker,sector,industry,country,employees
MO,Consumer Defensive,Tobacco,United States,6200
MOH,Healthcare,Healthcare Plans,United States,18000
MOS,Basic Materials,Agricultural Inputs,United States,13765
MPC,Energy,Oil & Gas Refining & Marketing,United States,18300
MPWR,Technology,Semiconductors,United States,4017
MRK,Healthcare,Drug Manufacturers - General,United States,73000
MRNA,Healthcare,Biotechnology,United States,5800
MS,Financial Services,Capital Markets,United States,80000
MSCI,Financial Services,Financial Data & Stock Exchanges,United States,6208
MSFT,Technology,Software - Infrastructure,United States,228000
MSI,Technology,Communication Equipment,United States,21000
MTB,Financial Services,Banks - Regional,United States,22590
MTCH,Communication Services,Internet Content & Information,United States,2500
MTD,Healthcare,Diagnostics & Research,United States,16000
MU,Technology,Semiconductors,United States,48000
NCLH,Consumer Cyclical,Travel Services,United States,41700
NDAQ,Financial Services,Financial Data & Stock Exchanges,United States,9492
NDSN,Industrials,Specialty Industrial Machinery,United States,7700
NEE,Utilities,Utilities - Regulated Electric,United States,16800
NEM,Basic Materials,Gold,United States,22200
NFLX,Communication Services,Entertainment,United States,14000
NI,Utilities,Utilities - Regulated Gas,United States,7687
NKE,Consumer Cyclical,Footwear & Accessories,United States,77800
NOC,Industrials,Aerospace & Defense,United States,97000
NOW,Technology,Software - Application,United States,26293
NRG,Utilities,Utilities - Independent Power Producers,United States,15637
NSC,Industrials,Railroads,United States,19600
NTAP,Technology,Software - Infrastructure,United States,11700
NTRS,Financial Services,Asset Management,United States,23400
NUE,Basic Materials,Steel,United States,32700
NVDA,Technology,Semiconductors,United States,36000
NVR,Consumer Cyclical,Residential Construction,United States,7000
NWS,Communication Services,Entertainment,United States,22300
NWSA,Communication Services,Entertainment,United States,22300
NXPI,Technology,Semiconductors,Netherlands,33100
O,Real Estate,REIT - Retail,United States,468
ODFL,Industrials,Trucking,United States,21719
OKE,Energy,Oil & Gas Midstream,United States,5177
OMC,Communication Services,Advertising Agencies,United States,74900
ON,Technology,Semiconductors,United States,26400
ORCL,Technology,Software - Infrastructure,United States,162000
ORLY,Consumer Cyclical,Auto Parts,United States,92810
OTIS,Industrials,Specialty Industrial Machinery,United States,72000
OXY,Energy,Oil & Gas E&P,United States,13323
PANW,Technology,Software - Infrastructure,United States,16068
PARA,Communication Services,Entertainment,United States,18600
PAYC,Technology,Software - Application,United States,7306
PAYX,Technology,Software - Application,United States,19000
PCAR,Industrials,Farm & Heavy Construction Machinery,United States,30100
PCG,Utilities,Utilities - Regulated Electric,United States,28410
PEAK,,,,
PEG,Utilities,Utilities - Regulated Electric,United States,13047
PEP,Consumer Defensive,Beverages - Non-Alcoholic,United States,319000
PFE,Healthcare,Drug Manufacturers - General,United States,81000
PFG,Financial Services,Asset Management,United States,19700
PG,Consumer Defensive,Household & Personal Products,United States,109000
PGR,Financial Services,Insurance - Property & Casualty,United States,66308
PH,Industrials,Specialty Industrial Machinery,United States,57950
PHM,Consumer Cyclical,Residential Construction,United States,6793
PKG,Consumer Cyclical,Packaging & Containers,United States,15400
PLD,Real Estate,REIT - Industrial,United States,2703
PLTR,Technology,Software - Infrastructure,United States,4164
PM,Consumer Defensive,Tobacco,United States,83100
PNC,Financial Services,Banks - Regional,United States,53175
PNR,Industrials,Specialty Industrial Machinery,United Kingdom,9750
PNW,Utilities,Utilities - Regulated Electric,United States,6403
PODD,Healthcare,Medical Devices,United States,3900
POOL,Industrials,Industrial Distribution,United States,6000
PPG,Basic Materials,Specialty Chemicals,United States,46000
PPL,Utilities,Utilities - Regulated Electric,United States,6653
PRU,Financial Services,Insurance - Life,United States,37936
PSA,Real Estate,REIT - Industrial,United States,5900
PSX,Energy,Oil & Gas Refining & Marketing,United States,13200
PTC,Technology,Software - Application,United States,7000
PWR,Industrials,Engineering & Construction,United States,58400
PXD,,,,
